'voicing','zcr','gt'
0.37025,0.15166,1
0.35105,0.22303,1
0.45246,0.27251,1
0.59623,0.29197,1
0.6866,0.28386,1
0.66618,0.26683,1
0.53264,0.24169,1
0.63116,0.206,1
0.67504,0.18735,1
0.82611,0.1768,1
0.89764,0.1768,1
0.9001,0.17518,1
0.83388,0.16383,1
0.77281,0.15247,1
0.8428,0.1541,1
0.81805,0.15815,1
0.8224,0.15977,1
0.91035,0.15734,1
0.85359,0.15815,1
0.75436,0.15815,1
0.81324,0.15085,1
0.75763,0.14842,1
0.75073,0.14923,1
0.81962,0.14193,1
0.80437,0.12409,1
0.85291,0.1103,1
0.90871,0.10624,1
0.87643,0.10787,1
0.83738,0.10787,1
0.8496,0.10462,1
0.82857,0.10624,1
0.77592,0.10462,1
0.75162,0.097324,1
0.74566,0.097324,1
0.6259,0.10624,1
0.6281,0.096513,1
0.78171,0.093268,1
0.73337,0.090024,1
0.85528,0.087591,1
0.87907,0.079481,1
0.89459,0.07867,1
0.91472,0.081914,1
0.84234,0.081914,1
0.82534,0.080292,1
0.91769,0.07867,1
0.94338,0.079481,1
0.94701,0.079481,1
0.96466,0.07867,1
0.96005,0.07867,1
0.9145,0.079481,1
0.91311,0.079481,1
0.944,0.07867,1
0.96041,0.07867,1
0.95071,0.080292,1
0.86444,0.085158,1
0.72299,0.092457,1
0.55915,0.10057,1
0.57588,0.098135,1
0.52318,0.098135,1
0.78878,0.094079,1
0.83258,0.081914,1
0.79941,0.083536,1
0.87608,0.081914,1
0.8795,0.087591,1
0.72347,0.10381,1
0.29632,0.20195,1
0.19881,0.37145,1
0.24277,0.43552,1
0.34729,0.35766,1
0.43069,0.26602,1
0.32937,0.25223,1
0.3606,0.23358,1
0.42848,0.20519,1
0.35774,0.20925,1
0.36599,0.21979,1
0.30764,0.19221,1
0.40421,0.17924,1
0.48154,0.17924,1
0.49281,0.1768,1
0.44092,0.16951,1
0.39052,0.16869,1
0.4819,0.16139,1
0.48311,0.14558,1
0.42689,0.14193,1
0.43921,0.14193,1
0.40856,0.16464,1
0.48302,0.16464,1
0.14446,0.22303,1
0.28091,0.27981,1
0.32039,0.32603,1
0.3439,0.34063,1
0.14918,0.3309,1
0.28516,0.25547,1
0.35982,0.17032,1
0.46112,0.17437,1
0.27237,0.22709,1
0.33477,0.26926,1
0.22529,0.24899,1
0.24462,0.24169,1
0.17235,0.2944,1
0.22102,0.30576,1
0.27578,0.2352,1
0.27219,0.20681,1
0.4555,0.13382,1
0.71604,0.12165,1
0.3587,0.17032,1
0.40588,0.1914,1
0.20382,0.1841,1
0.28746,0.16626,1
0.46379,0.14761,1
0.4518,0.20114,1
0.34339,0.2571,1
0.32828,0.24331,1
0.20977,0.20195,1
0.22874,0.18816,1
0.42428,0.16707,1
0.25287,0.20114,1
0.24879,0.25588,1
0.17785,0.25304,1
0.17878,0.21817,1
0.26371,0.22141,1
0.2158,0.23844,1
0.20494,0.26358,1
0.2683,0.27818,1
0.23683,0.23601,1
0.31704,0.17843,1
0.49595,0.15085,1
0.39018,0.15977,1
0.50744,0.18491,1
0.44207,0.16951,1
0.33373,0.18573,1
0.42689,0.206,1
0.59137,0.21979,1
0.27664,0.21817,1
0.43895,0.21817,1
0.47497,0.2279,1
0.23737,0.2644,1
0.63441,0.21736,1
0.76588,0.16869,1
0.60847,0.17518,1
0.35502,0.19708,1
0.30721,0.20032,1
0.35394,0.19221,1
0.52609,0.16869,1
0.5772,0.1841,1
0.41796,0.1914,1
0.5266,0.17924,1
0.42827,0.20114,1
0.46134,0.18735,1
0.63605,0.11922,1
0.39399,0.12814,1
0.1568,0.17599,1
0.30342,0.22141,1
0.48328,0.22384,1
0.66206,0.22952,1
0.43224,0.23033,1
0.47169,0.19059,1
0.44632,0.18005,1
0.27972,0.16626,1
0.32701,0.1395,1
0.59515,0.12165,1
0.54099,0.13706,1
0.39712,0.1395,1
0.39135,0.14274,1
0.60049,0.17518,1
0.62578,0.1841,1
0.60214,0.18491,1
0.37561,0.18491,1
0.36915,0.18654,1
0.18893,0.16383,1
0.40011,0.17113,1
0.48918,0.19708,1
0.54907,0.18573,1
0.27372,0.16707,1
0.29085,0.17843,1
0.33398,0.17518,1
0.49846,0.16383,1
0.55933,0.18816,1
0.43066,0.20276,1
0.39112,0.2133,1
0.34969,0.19627,1
0.40605,0.17599,1
0.465,0.16707,1
0.29488,0.18735,1
0.16223,0.18735,1
0.23593,0.17194,1
0.45294,0.14436,1
0.44286,0.14355,1
0.31673,0.16869,1
0.25847,0.15734,1
0.41407,0.16869,1
0.43051,0.18248,1
0.27812,0.18086,1
0.30901,0.17518,1
0.39085,0.16951,1
0.21088,0.18005,1
0.2444,0.16302,1
0.1671,0.15572,1
0.61043,0.17518,1
0.61025,0.18086,1
0.55735,0.14761,1
0.66519,0.13139,1
0.35587,0.15734,1
0.1947,0.15977,1
0.23404,0.15247,1
0.17333,0.15247,1
0.16323,0.15491,1
0.15506,0.14923,1
0,0.13788,1
0.017577,0.15734,1
0.082866,0.15977,1
0.060166,0.15896,1
0.046384,0.15166,1
0.19179,0.12895,1
0.3347,0.13301,1
0.23264,0.16545,1
0.2309,0.17153,1
0.12574,0.15247,1
0,0.14274,1
0,0.13139,1
0,0.1249,1
0,0.094891,1
0,0.091646,1
0,0.093268,1
0,0.13463,1
0,0.15004,1
0,0.10543,1
0,0.090024,1
0,0.12328,1
0,0.12571,1
0,0.12936,1
0,0.1103,1
0.79453,0.099757,1
0.63878,0.10381,1
0.78208,0.10787,1
0.88721,0.10462,1
0.83923,0.10706,1
0.88735,0.10868,1
0.90744,0.11273,1
0.86223,0.11192,1
0.84321,0.103,1
0.83755,0.097324,1
0.7967,0.10057,1
0.81872,0.10543,1
0.84839,0.10381,1
0.74228,0.10381,1
0.7988,0.10381,1
0.85432,0.10462,1
0.8928,0.10543,1
0.89728,0.10543,1
0.88363,0.10543,1
0.85559,0.10381,1
0.7774,0.10543,1
0.83157,0.10787,1
0.77399,0.10706,1
0.82936,0.10706,1
0.82312,0.11436,1
0.69608,0.11354,1
0.79397,0.1103,1
0.27794,0.11273,1
0.87788,0.12409,1
0.73997,0.14112,1
0.68624,0.14274,1
0.65909,0.13463,1
0.66077,0.1395,1
0.65237,0.14599,1
0.679,0.14274,1
0.66602,0.15085,1
0.6886,0.15896,1
0.55477,0.15247,1
0.56507,0.1468,1
0.54017,0.14355,1
0.54542,0.14599,1
0.42344,0.14193,1
0.61499,0.14112,1
0.77811,0.14436,1
0.91898,0.15491,1
0.75169,0.16058,1
0.47961,0.16221,1
0.89367,0.15653,1
0.93413,0.15247,1
0.7902,0.1541,1
0.80969,0.16139,1
0.43381,0.17032,1
0.54116,0.16626,1
0.64956,0.14842,1
0.7251,0.14436,1
0.58328,0.16383,1
0.61845,0.18491,1
0.52381,0.18897,1
0.45216,0.19059,1
0.52935,0.18491,1
0.58136,0.17275,1
0.55544,0.17924,1
0.41283,0.18654,1
0.34057,0.18897,1
0.27357,0.16951,1
0.65832,0.15815,1
0.69942,0.16626,1
0.81814,0.16788,1
0.78931,0.15815,1
0.72079,0.15815,1
0.69462,0.16707,1
0.63053,0.16626,1
0.57152,0.16383,1
0.60346,0.16788,1
0.65756,0.17032,1
0.33818,0.15815,1
0.5824,0.16058,1
0.78556,0.17518,1
0.75879,0.16951,1
0.81081,0.16464,1
0.78336,0.16545,1
0.76915,0.16951,1
0.78658,0.1768,1
0.7783,0.17599,1
0.74611,0.17843,1
0.75676,0.17924,1
0.63102,0.16302,1
0.56736,0.17437,1
0.66784,0.19627,1
0.88088,0.20843,1
0.86222,0.20843,1
0.76809,0.20925,1
0.74066,0.19465,1
0.7646,0.19465,1
0.78078,0.20195,1
0.81002,0.19627,1
0.75975,0.19546,1
0.74358,0.20195,1
0.77255,0.20032,1
0.49308,0.17599,1
0.48748,0.17113,1
0.5676,0.1914,1
0.57685,0.18573,1
0.60544,0.16383,1
0.67647,0.16302,1
0.70584,0.16545,1
0.73129,0.16951,1
0.65633,0.17518,1
0.68165,0.16464,1
0.66762,0.16545,1
0.68278,0.16626,1
0.56825,0.1541,1
0.46092,0.15085,1
0.60353,0.15247,1
0.67196,0.15491,1
0.6917,0.14842,1
0.69826,0.15247,1
0.80569,0.15328,1
0.87295,0.15247,1
0.78011,0.15328,1
0.80822,0.14923,1
0.34464,0.14599,1
0.50489,0.14842,1
0.58137,0.14436,1
0.61045,0.13544,1
0.57192,0.14761,1
0.49465,0.14842,1
0.6394,0.14274,1
0.70189,0.14112,1
0.61387,0.12814,1
0.71572,0.11517,1
0.78211,0.12003,1
0.66076,0.12003,1
0.71508,0.12571,1
0.5034,0.13058,1
0.53637,0.12003,1
0.6999,0.10787,1
0.75529,0.10543,1
0.64446,0.11273,1
0.6257,0.12165,1
0.66981,0.12571,1
0.4358,0.16139,1
0.36258,0.21898,1
0.32192,0.23195,1
0.34443,0.1987,1
0.31911,0.21655,1
0.29831,0.20762,1
0.21118,0.25872,1
0.36882,0.29684,1
0.3584,0.28792,1
0.32141,0.25629,1
0.15552,0.24493,1
0.12906,0.21492,1
0.14005,0.2644,1
0.28267,0.32198,1
0.39754,0.30981,1
0.17135,0.29684,1
0.28208,0.33414,1
0.37688,0.33496,1
0.31491,0.33252,1
0.3531,0.35199,1
0.32881,0.32117,1
0.22743,0.31873,1
0.23225,0.33982,1
0.28368,0.33333,1
0.68211,0.29197,1
0.65564,0.27251,1
0.68548,0.2498,1
0.46409,0.30089,1
0.44204,0.33901,1
0.46945,0.32198,1
0.63594,0.27737,1
0.58777,0.28386,1
0.42632,0.27332,1
0.30277,0.26358,1
0.54391,0.28792,1
0.58249,0.32279,1
0.42509,0.30495,1
0.41727,0.29765,1
0.40002,0.28224,1
0.42245,0.28386,1
0.44423,0.28873,1
0.46945,0.28467,1
0.38708,0.27656,1
0.3356,0.29116,1
0.32246,0.29765,1
0.40781,0.27656,1
0.51668,0.28062,1
0.56392,0.30576,1
0.47499,0.29765,1
0.42235,0.3017,1
0.33558,0.29684,1
0.26084,0.26277,1
0.35463,0.24899,1
0.40693,0.25629,1
0.29637,0.25142,1
0.39607,0.2425,1
0.49293,0.22628,1
0.27161,0.21695,1
0.35624,0.20195,1
0.40359,0.19221,1
0.33839,0.21006,1
0.2298,0.21898,1
0.3516,0.19546,1
0.16942,0.16869,1
0.10206,0.16707,1
0.095288,0.18573,1
0.23745,0.18897,1
0.25098,0.19303,1
0.22649,0.18654,1
0.075208,0.18005,1
0.12686,0.18573,1
0.12518,0.1768,1
0.041155,0.15166,1
0.44133,0.1395,1
0.44479,0.13625,1
0.25436,0.14761,1
0.027588,0.1395,1
0,0.13788,1
0,0.15328,1
0.021008,0.14599,1
0.26312,0.16383,1
0.28386,0.16221,1
0.11139,0.14436,1
0,0.15896,1
0,0.14761,1
0,0.14923,1
0,0.13544,1
0,0.1322,1
0.16047,0.16383,1
0.081432,0.16869,1
0.059694,0.15572,1
0,0.12814,1
0,0.10706,1
0,0.1103,1
0,0.12165,1
0,0.14761,1
0,0.16058,1
0,0.18329,1
0,0.20114,1
0,0.18167,1
0,0.16058,1
0,0.14112,1
0,0.1768,1
0,0.17762,1
0,0.14112,1
0,0.12895,1
0,0.1768,1
0,0.17356,1
0,0.11111,1
0,0.11192,1
0,0.14517,1
0,0.12571,1
0.10121,0.10503,1
0.16256,0.13463,1
0.38802,0.18086,1
0.31699,0.25223,1
0.24857,0.34793,1
0.24082,0.35442,1
0.27244,0.37226,1
0.28991,0.38281,1
0.23573,0.36577,1
0.31647,0.30495,1
0.32309,0.25223,1
0.25868,0.2498,1
0.29909,0.24006,1
0.38144,0.23033,1
0.46081,0.2133,1
0.38624,0.21979,1
0.42341,0.19465,1
0.55555,0.17356,1
0.64724,0.16058,1
0.54556,0.18329,1
0.49357,0.19546,1
0.53226,0.17599,1
0.51978,0.18329,1
0.41409,0.18086,1
0.47251,0.17113,1
0.44871,0.15815,1
0.32548,0.15653,1
0.3208,0.15734,1
0.36116,0.16139,1
0.36199,0.15328,1
0.37322,0.14761,1
0.44118,0.15004,1
0.43286,0.15247,1
0.41924,0.15491,1
0.46067,0.15977,1
0.4365,0.15734,1
0.43708,0.15085,1
0.45619,0.14923,1
0.41564,0.15896,1
0.46111,0.1541,1
0.44205,0.14761,1
0.46645,0.14355,1
0.51225,0.14599,1
0.45879,0.14436,1
0.33914,0.14517,1
0.29799,0.14517,1
0.36225,0.14599,1
0.41995,0.13625,1
0.37691,0.13382,1
0.26669,0.13706,1
0.19403,0.13382,1
0.26531,0.13179,1
0.24036,0.15004,1
0.23116,0.15896,1
0.27175,0.15896,1
0.2766,0.16221,1
0.2809,0.15815,1
0.21597,0.15004,1
0.12651,0.14355,1
0.19915,0.14517,1
0.21699,0.15166,1
0.18411,0.1468,1
0.24279,0.11922,1
0.17049,0.10787,1
0,0.11517,1
0.81636,0.10057,1
0.5107,0.12003,1
0.51333,0.1322,1
0.58795,0.12328,1
0.72532,0.11517,1
0.70483,0.12652,1
0.67354,0.1322,1
0.62262,0.13058,1
0.67925,0.1176,1
0.75782,0.10138,1
0.71981,0.10057,1
0.68925,0.10462,1
0.80689,0.10624,1
0.77811,0.11517,1
0.65325,0.12165,1
0.63336,0.11517,1
0.57766,0.1176,1
0.5613,0.11598,1
0.66623,0.11517,1
0.76626,0.11436,1
0.75613,0.11679,1
0.60658,0.12247,1
0.54354,0.11436,1
0.57859,0.11436,1
0.46683,0.11192,1
0.67989,0.10949,1
0.73574,0.10543,1
0.60865,0.11436,1
0.57665,0.1249,1
0.58197,0.12409,1
0.55449,0.11273,1
0.56471,0.11192,1
0.54881,0.11111,1
0.5444,0.11841,1
0.50306,0.1176,1
0.39769,0.10624,1
0.43555,0.10706,1
0.63869,0.10706,1
0.59842,0.10706,1
0.51136,0.097324,1
0.41634,0.095702,1
0.45044,0.10138,1
0.4973,0.11111,1
0.47298,0.10787,1
0.23526,0.11922,1
0.18877,0.1468,1
0.31896,0.1841,1
0.34544,0.1914,1
0.34428,0.18735,1
0.36003,0.18654,1
0.28395,0.20681,1
0.49395,0.21087,1
0.69566,0.21979,1
0.71842,0.2206,1
0.58423,0.21006,1
0.29524,0.1987,1
0.31064,0.19708,1
0.27676,0.19708,1
0.36135,0.18816,1
0.41272,0.18897,1
0.42366,0.18897,1
0.38165,0.19627,1
0.30408,0.22628,1
0.47529,0.27656,1
0.46477,0.27332,1
0.35837,0.24493,1
0.49457,0.23601,1
0.65105,0.25061,1
0.71987,0.2498,1
0.67893,0.2429,1
0.49747,0.23763,1
0.31897,0.29684,1
0.29717,0.39984,1
0.32892,0.46148,1
0.23705,0.48743,1
0.22073,0.48256,1
0.31394,0.47932,1
0.27739,0.52393,1
0.32395,0.5515,1
0.4452,0.52879,1
0.44035,0.53609,1
0.46393,0.60584,1
0.56534,0.6691,1
0.63129,0.63828,1
0.54822,0.59367,1
0.60137,0.59205,1
0.5602,0.59611,1
0.39118,0.5734,1
0.34898,0.53366,1
0.31947,0.4558,1
0.32254,0.47689,1
0.36704,0.51095,1
0.44419,0.51582,1
0.46124,0.53852,1
0.44144,0.52879,1
0.41472,0.54745,1
0.37329,0.55799,1
0.36063,0.59773,1
0.35073,0.62855,1
0.53088,0.69667,1
0.66287,0.74858,1
0.63956,0.74777,1
0.65738,0.75912,1
0.68639,0.74858,1
0.66016,0.74128,1
0.6088,0.74939,1
0.55876,0.74128,1
0.58053,0.74696,1
0.64618,0.76156,1
0.63614,0.75182,1
0.48378,0.6618,1
0.35907,0.57745,1
0.34817,0.57745,1
0.51219,0.6472,1
0.62832,0.71452,1
0.70679,0.74209,1
0.70442,0.7429,1
0.71821,0.73398,1
0.75631,0.72344,1
0.7188,0.70803,1
0.68888,0.69586,1
0.67834,0.68856,1
0.66459,0.691,1
0.65416,0.69262,1
0.67362,0.71776,1
0.71121,0.74939,1
0.72449,0.7794,1
0.72455,0.77372,1
0.71024,0.75831,1
0.69076,0.7502,1
0.65776,0.73885,1
0.57726,0.71695,1
0.62753,0.6837,1
0.72431,0.66261,1
0.75156,0.65207,1
0.70069,0.6399,1
0.61329,0.62774,1
0.59046,0.62449,1
0.50313,0.6026,1
0.47871,0.5953,1
0.50892,0.58637,1
0.48025,0.56204,1
0.50925,0.55799,1
0.62034,0.57989,1
0.59584,0.588,1
0.51245,0.57745,1
0.53995,0.54988,1
0.62938,0.53447,1
0.68923,0.53609,1
0.65032,0.55718,1
0.38884,0.58881,1
0.43579,0.6399,1
0.50447,0.67397,1
0.46098,0.67153,1
0.43741,0.66099,1
0.47238,0.6545,1
0.46912,0.64315,1
0.4095,0.63098,1
0.34914,0.62855,1
0.36322,0.61963,1
0.3893,0.61314,1
0.37381,0.59773,1
0.38251,0.59448,1
0.38862,0.60097,1
0.42024,0.60908,1
0.43811,0.61233,1
0.40142,0.618,1
0.35389,0.61557,1
0.3799,0.63585,1
0.35938,0.67315,1
0.3128,0.69911,1
0.32092,0.71371,1
0.30852,0.66504,1
0.37726,0.62044,1
0.38962,0.55961,1
0.26272,0.5369,1
0.24845,0.58151,1
0.28533,0.62125,1
0.29937,0.65288,1
0.25707,0.63017,1
0.29339,0.62855,1
0.33785,0.63747,1
0.3461,0.65288,1
0.27341,0.64071,1
0.24555,0.59611,1
0.35967,0.59448,1
0.39641,0.64396,1
0.38105,0.65045,1
0.36784,0.6399,1
0.32862,0.6326,1
0.361,0.64964,1
0.44006,0.62449,1
0.43353,0.60746,1
0.3846,0.59205,1
0.33825,0.62449,1
0.28126,0.61314,1
0.28785,0.58151,1
0.23546,0.60178,1
0.20693,0.61152,1
0.2197,0.59448,1
0.26308,0.5588,1
0.27963,0.56691,1
0.25077,0.57989,1
0.30803,0.58313,1
0.33993,0.54907,1
0.24899,0.56123,1
0.26447,0.58556,1
0.30466,0.59367,1
0.30589,0.57989,1
0.33111,0.5661,1
0.31295,0.56691,1
0.30742,0.54501,1
0.33938,0.51095,1
0.29126,0.53204,1
0.27453,0.53852,1
0.26594,0.52636,1
0.28229,0.50527,1
0.30841,0.48905,1
0.29714,0.51744,1
0.37769,0.49878,1
0.37583,0.485,1
0.33024,0.50203,1
0.28882,0.48905,1
0.3072,0.45418,1
0.25752,0.4631,1
0.24361,0.50689,1
0.27021,0.52798,1
0.25395,0.49635,1
0.26582,0.4777,1
0.22399,0.46148,1
0.26231,0.44607,1
0.2778,0.44931,1
0.30853,0.45337,1
0.40848,0.42174,1
0.37831,0.38686,1
0.42366,0.35199,1
0.39597,0.38686,1
0.30944,0.42822,1
0.31288,0.42336,1
0.27078,0.4485,1
0.27838,0.51257,1
0.26798,0.5296,1
0.29739,0.51906,1
0.30501,0.53122,1
0.27747,0.515,1
0.27556,0.49392,1
0.23668,0.47364,1
0.2414,0.45499,1
0.29842,0.43633,1
0.3207,0.42011,1
0.35583,0.41768,1
0.35514,0.42092,1
0.42692,0.38037,1
0.49567,0.36253,1
0.4186,0.34307,1
0.38375,0.33333,1
0.40149,0.33333,1
0.34843,0.36091,1
0.30532,0.39011,1
0.29927,0.37307,1
0.3122,0.33577,1
0.33248,0.3309,1
0.3334,0.36415,1
0.29239,0.41119,1
0.26193,0.45255,1
0.31828,0.43471,1
0.32537,0.42822,1
0.29303,0.39984,1
0.22856,0.40146,1
0.38289,0.38848,1
0.42513,0.32766,1
0.45424,0.27088,1
0.49552,0.21168,1
0.5431,0.19384,1
0.53336,0.20762,1
0.42909,0.23033,1
0.30995,0.23601,1
0.22787,0.24736,1
0.27062,0.24899,1
0.1905,0.21736,1
0.026724,0.1914,1
0,0.17924,1
0.17907,0.16626,1
0.21931,0.1395,1
0.0046226,0.11111,1
0,0.097324,1
0.1687,0.1103,1
0.34573,0.12328,1
0.56699,0.21573,2
0.68428,0.17843,2
0.83575,0.12247,2
0.86105,0.11598,2
0.73143,0.14031,2
0.57467,0.14436,2
0.75101,0.12571,2
0.80207,0.12571,2
0.67541,0.13463,2
0.611,0.13463,2
0.60379,0.1249,2
0.63384,0.1103,2
0.67201,0.11922,2
0.68134,0.12652,2
0.53931,0.12976,2
0.52384,0.12814,2
0.65737,0.12814,2
0.72073,0.11841,2
0.68879,0.12165,2
0.66192,0.11679,2
0.64832,0.10868,2
0.5604,0.11517,2
0.38205,0.11922,2
0.25554,0.1103,2
0.22489,0.10543,2
0.37903,0.10868,2
0.31862,0.091646,2
0.40803,0.07867,2
0.44792,0.085158,2
0.42557,0.10381,2
0.10929,0.11111,2
0.21927,0.097324,2
0.39737,0.11517,2
0.22635,0.20195,2
0.31239,0.24899,2
0.38348,0.22141,2
0.34826,0.2425,2
0.28035,0.30251,2
0.48155,0.26926,2
0.59006,0.18005,2
0.60167,0.16869,2
0.58748,0.15166,2
0.68639,0.12328,2
0.81011,0.090835,2
0.75847,0.098946,2
0.5842,0.15085,2
0.34433,0.20195,2
0.37952,0.22384,2
0.46585,0.23033,2
0.39328,0.25872,2
0.42591,0.26196,2
0.61244,0.22628,2
0.57539,0.20276,2
0.45375,0.22384,2
0.60234,0.23195,2
0.55058,0.23195,2
0.56677,0.22952,2
0.65285,0.23844,2
0.66381,0.19708,2
0.70024,0.17275,2
0.55322,0.22547,2
0.39401,0.26845,2
0.31042,0.26277,2
0.51628,0.26845,2
0.66144,0.18573,2
0.69891,0.16707,2
0.69613,0.16058,2
0.61321,0.16139,2
0.5283,0.17275,2
0.57622,0.17762,2
0.6051,0.15572,2
0.57463,0.14923,2
0.6341,0.1541,2
0.65722,0.14923,2
0.62181,0.15491,2
0.60784,0.15977,2
0.57071,0.18897,2
0.68008,0.19221,2
0.64473,0.22871,2
0.54417,0.2279,2
0.2665,0.26115,2
0.16755,0.38281,2
0.2481,0.41363,2
0.4144,0.33739,2
0.49946,0.30414,2
0.57509,0.25304,2
0.56179,0.2279,2
0.41728,0.2425,2
0.43796,0.22628,2
0.58331,0.23195,2
0.64275,0.21736,2
0.60784,0.21736,2
0.52886,0.22222,2
0.4739,0.26358,2
0.45971,0.25142,2
0.2371,0.26926,2
0.42092,0.26277,2
0.7346,0.19789,2
0.7747,0.16626,2
0.61616,0.23682,2
0.49538,0.22709,2
0.39277,0.23439,2
0.53828,0.23277,2
0.65909,0.2279,2
0.73814,0.20843,2
0.84424,0.16626,2
0.91286,0.14842,2
0.46851,0.23033,2
0.48103,0.26845,2
0.8113,0.16869,2
0.93167,0.12003,2
0.87424,0.15004,2
0.3153,0.21249,2
0.64771,0.21573,2
0.91418,0.14112,2
0.95927,0.15328,2
0.48583,0.21979,2
0.50607,0.28062,2
0.50283,0.27088,2
0.47055,0.22141,2
0.60129,0.19221,2
0.58185,0.20276,2
0.35899,0.21979,2
0.4018,0.21087,2
0.42479,0.1841,2
0.22469,0.17356,2
0.31044,0.16626,2
0.37002,0.15572,2
0.43285,0.15653,2
0.46589,0.16139,2
0.42895,0.15734,2
0.46776,0.14436,2
0.4692,0.14599,2
0.54441,0.15572,2
0.43451,0.15166,2
0.45938,0.15166,2
0.45167,0.15653,2
0.45538,0.14193,2
0.4577,0.14031,2
0.53073,0.14031,2
0.66045,0.13301,2
0.60809,0.13544,2
0.55662,0.14193,2
0.49432,0.13301,2
0.63116,0.12733,2
0.56529,0.12976,2
0.4775,0.12652,2
0.50226,0.10787,2
0.55668,0.10706,2
0.47721,0.13139,2
0.38806,0.14031,2
0.33558,0.12571,2
0.52323,0.12328,2
0.57362,0.12733,2
0.51254,0.13058,2
0.34329,0.12652,2
0.28382,0.16221,2
0.23154,0.23358,2
0.24384,0.2871,2
0.19796,0.29116,2
0.21619,0.31062,2
0.28528,0.32928,2
0.29342,0.36415,2
0.35853,0.37064,2
0.14566,0.38686,2
0.16974,0.38281,2
0.23042,0.3382,2
0.16405,0.30251,2
0.14641,0.30616,2
0.15947,0.28305,2
0.16345,0.2717,2
0.14002,0.27007,2
0.10177,0.26845,2
0.156,0.26521,2
0.25693,0.24818,2
0.20745,0.22628,2
0.0737,0.21492,2
0.048884,0.18654,2
0,0.18654,2
0.0095986,0.18573,2
0,0.20681,2
0.72337,0.20276,2
0.42946,0.43715,2
0.24807,0.73398,2
0.23138,0.84428,2
0.22968,0.79805,2
0.22636,0.7429,2
0.23557,0.75426,2
0.2114,0.78345,2
0.21977,0.82157,2
0.2143,0.82482,2
0.19807,0.79562,2
0.24256,0.75994,2
0.31962,0.71938,2
0.29071,0.69181,2
0.34915,0.65856,2
0.35924,0.65612,2
0.28752,0.62368,2
0.26441,0.63098,2
0.34735,0.67234,2
0.37272,0.67964,2
0.26936,0.69424,2
0.21055,0.72344,2
0.21654,0.72101,2
0.22352,0.71533,2
0.25288,0.73804,2
0.28906,0.75994,2
0.26772,0.73804,2
0.24974,0.76805,2
0.24365,0.78751,2
0.22877,0.75101,2
